HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
25190	4	5	6	9	10	2	6	3	1	2	8	10	1	2	2	2	5	5	5	6
25191	1	3	4	10	7	4	5	9	6	7	10	4	7	1	3	1	5	9	8	9
25192	2	5	3	9	8	10	2	2	5	1	9	1	2	9	3	2	5	2	10	2
25269	7	6	5	1	8	7	10	1	2	4	1	6	4	1	10	6	8	9	5	9
25270	3	7	10	9	3	8	10	6	6	7	8	4	6	1	5	1	10	9	6	4
25271	2	1	4	4	2	3	7	2	1	5	2	7	7	10	4	6	2	3	2	9
25272	8	7	10	3	8	3	8	10	9	10	10	10	2	9	1	3	3	6	9	9
25273	5	5	2	3	4	2	2	4	7	9	1	3	9	8	10	10	10	2	9	6
25350	3	3	1	1	2	3	2	3	8	5	6	1	8	3	5	5	5	7	8	3
25351	4	10	1	3	5	7	2	9	4	1	7	10	5	2	6	10	4	3	5	9
25352	7	6	8	7	2	9	4	5	3	9	7	3	8	5	4	3	8	2	3	8
25353	8	6	10	5	10	10	10	8	3	6	2	10	3	7	2	9	8	10	4	10
25354	2	7	4	4	2	4	6	9	6	5	10	8	5	2	2	3	4	2	8	4
25431	2	4	3	8	8	7	4	4	8	6	3	7	4	10	9	5	6	6	7	3
25432	4	1	5	4	2	3	10	3	1	8	6	5	1	2	2	4	1	9	1	8
25433	7	6	2	6	6	3	8	8	10	3	10	5	2	3	7	9	1	8	9	7
25434	2	8	8	6	4	6	7	4	8	10	2	8	8	2	1	4	1	6	4	3
25435	4	6	9	3	3	3	7	8	3	2	10	6	9	10	2	6	4	8	10	5
25512	4	8	9	3	6	6	1	5	9	9	2	6	3	9	7	8	9	1	2	8
25513	2	7	4	4	6	3	10	10	1	10	9	5	9	2	9	2	3	8	6	4
25514	10	9	10	5	10	6	2	3	2	9	3	3	4	4	1	1	8	5	9	8
25515	10	8	8	10	6	1	10	6	3	8	5	3	1	5	3	10	8	4	9	7
25516	2	5	2	1	7	4	7	1	4	8	5	3	4	8	5	4	4	6	2	6
25594	1	5	1	1	6	7	1	7	8	5	5	2	3	5	2	10	2	10	6	2
25595	9	6	2	7	4	8	7	3	9	6	10	7	6	7	2	1	7	8	5	8
25596	4	10	3	2	8	2	6	10	8	9	8	1	9	1	3	7	5	1	3	1
25597	1	9	4	5	4	2	2	6	8	5	8	10	5	10	8	4	9	8	6	1
25674	1	1	8	4	3	5	6	3	6	5	6	6	10	2	8	10	4	3	10	9
25675	10	1	8	4	6	2	10	4	10	7	1	4	9	2	5	1	6	4	6	7
25676	10	2	2	4	6	4	3	3	9	1	10	3	3	8	9	2	2	2	5	4
25677	10	7	5	8	1	5	6	10	6	10	7	10	8	10	6	10	9	2	6	9
25678	1	1	1	5	7	2	5	5	2	6	8	7	5	10	1	8	8	5	7	9
25756	3	8	10	4	2	2	1	3	1	8	1	6	2	3	9	3	2	1	7	9
25757	3	10	2	4	7	7	5	5	7	2	6	10	2	6	2	8	9	6	6	4
25758	3	2	1	4	1	9	8	5	9	7	2	10	10	10	10	8	3	4	5	2
25759	4	9	9	6	3	10	7	6	5	8	9	1	3	10	5	1	3	5	7	8
25837	10	4	4	10	7	6	5	10	8	7	10	7	9	7	1	5	9	2	1	8
25838	7	3	5	9	6	7	10	8	6	10	1	4	3	3	7	3	6	3	5	7
25839	7	3	5	4	7	3	10	3	10	6	10	6	1	2	10	3	7	9	8	10
25840	1	7	3	1	5	4	4	7	2	9	8	8	3	3	8	8	3	5	6	3
25918	5	6	3	9	3	5	1	8	5	8	1	5	2	10	10	10	4	10	2	10
25919	1	9	6	4	6	1	7	10	9	10	9	3	10	5	7	9	6	4	6	3
25920	1	3	9	5	9	7	9	1	10	2	9	5	10	9	2	8	6	1	2	6
25921	10	2	5	5	2	10	5	9	1	8	8	5	10	3	10	8	10	3	1	5
25999	4	1	1	2	5	9	10	9	1	6	4	3	7	10	5	2	10	2	7	10
26000	2	4	6	6	5	6	10	3	4	6	8	8	6	1	2	2	9	8	3	6
26001	2	8	5	10	3	8	9	6	3	4	3	8	2	9	3	7	6	7	10	7
26002	9	7	9	4	9	5	5	9	9	1	5	6	2	1	8	2	8	7	8	2
26081	6	3	8	2	3	2	4	2	9	10	7	1	3	4	1	2	1	10	2	9
26082	9	3	1	1	5	7	8	1	9	1	5	8	1	3	4	1	9	10	1	1
26083	8	9	2	8	5	7	9	10	8	8	1	7	8	2	7	1	7	8	2	6
26161	4	2	1	2	6	4	10	9	9	4	6	6	10	8	5	4	5	7	7	7
26162	9	1	10	8	4	4	3	5	6	5	8	8	5	6	9	8	5	3	1	9
26163	10	3	8	7	8	4	7	7	9	1	6	8	9	7	8	6	2	4	2	3
26164	1	9	1	2	3	6	8	4	1	8	7	2	3	7	8	9	2	4	2	2
26242	6	4	6	8	8	10	10	10	2	6	9	1	3	4	7	9	8	1	9	4
26243	4	8	5	9	4	2	4	4	7	3	5	4	1	8	10	6	3	7	1	1
26244	8	5	10	3	1	1	10	3	2	9	7	8	6	7	6	4	1	10	8	7
26245	9	1	2	2	1	6	1	4	4	3	1	1	8	4	5	1	10	8	6	2
26324	10	5	8	1	1	10	4	7	10	8	3	9	5	5	4	9	9	4	1	3
26325	5	10	1	4	3	7	10	10	2	5	3	6	6	6	3	2	2	5	1	9
26326	6	1	1	6	7	9	7	9	7	5	10	8	10	3	3	5	1	2	7	4
26404	1	5	10	1	4	8	6	5	1	9	4	7	3	1	2	8	7	6	9	7
26405	7	5	5	1	4	10	2	4	4	4	10	10	7	2	4	5	8	10	3	9
26406	5	8	9	9	5	8	3	4	4	10	2	2	9	7	1	10	1	7	6	7
26407	2	9	5	8	5	6	4	7	9	8	1	4	5	8	7	8	10	6	6	2
26485	7	8	5	3	5	1	10	5	2	5	1	9	2	8	3	10	8	7	4	4
26486	4	10	2	7	5	3	2	4	9	10	10	4	6	6	7	8	6	2	1	9
26487	10	10	8	10	2	7	4	6	1	1	6	8	6	8	3	8	4	10	6	7
26488	10	9	9	10	3	2	3	2	2	10	4	7	3	9	1	6	3	4	4	6
26567	8	5	1	6	8	8	10	1	5	6	5	7	10	6	2	10	4	5	5	3
26568	4	2	9	8	2	2	4	5	7	4	7	7	6	7	8	3	9	1	9	5
26569	8	7	3	4	2	5	6	2	7	1	7	4	8	6	2	2	1	1	10	7
26647	1	5	1	8	10	5	7	10	10	8	7	9	4	8	9	2	8	6	6	2
26648	9	2	1	10	3	7	5	1	3	1	2	4	9	1	3	8	9	1	6	4
26649	5	6	7	7	5	4	6	7	7	4	10	6	7	9	10	10	9	3	1	5
26650	9	5	3	9	1	5	2	9	5	2	8	8	2	10	6	2	5	2	3	6
26729	2	10	4	9	5	3	8	1	8	10	7	4	4	8	5	3	7	6	6	8
26730	8	3	3	10	10	3	4	10	8	5	6	4	1	1	9	2	10	9	1	8
26731	4	9	5	2	7	9	5	8	4	8	8	10	3	7	9	5	1	10	6	6
26810	7	1	4	2	9	2	5	5	1	1	2	4	7	5	9	10	3	4	4	6
26811	9	6	4	1	9	3	3	9	2	10	2	10	1	6	5	4	4	5	6	9
26812	2	9	8	3	6	4	2	5	2	9	4	9	8	8	1	10	3	3	10	1
26891	6	4	7	10	8	6	2	4	8	5	3	10	7	6	2	4	9	7	3	2
26892	4	5	1	7	2	9	10	5	4	2	8	5	2	8	6	7	1	3	6	1
26893	10	6	10	1	9	10	4	9	8	6	10	10	8	4	10	6	8	10	3	2
26972	3	6	10	7	5	8	4	2	7	6	10	3	3	2	9	2	10	10	10	5
26973	4	4	5	6	2	3	5	10	6	7	4	5	9	10	6	3	3	5	6	8
26974	10	10	8	5	8	4	3	5	1	5	9	7	3	6	2	4	10	9	3	2
27054	4	3	9	9	10	8	6	1	2	6	3	10	2	6	3	5	2	3	2	6
27055	6	8	7	5	7	5	1	3	1	1	8	6	1	2	9	1	9	3	2	1
27134	3	6	5	4	2	4	2	7	4	1	3	3	3	5	10	3	6	4	4	5
27135	9	7	3	4	7	6	7	2	3	5	5	5	3	6	5	5	7	10	2	3
27136	9	7	10	3	1	8	10	2	6	4	6	6	4	10	9	6	9	1	10	10
27216	8	5	10	2	2	9	7	9	5	10	2	4	4	4	4	3	5	4	4	10
27217	4	6	10	3	4	5	6	8	2	6	7	3	5	7	5	7	5	1	3	7
39418	5	5	1	3	1	9	4	8	8	4	6	8	7	1	5	1	1	6	7	3
39419	3	7	4	10	8	2	10	6	1	1	4	5	7	3	8	3	6	7	8	5
39420	9	7	1	9	2	8	1	9	4	5	10	9	5	8	5	5	5	1	3	5
39421	7	5	10	4	5	8	6	10	8	7	8	3	8	9	2	8	10	7	7	3
39422	5	6	2	1	9	8	2	4	10	4	8	5	8	6	10	6	9	3	10	4
39423	6	1	9	3	10	8	8	1	4	5	10	6	1	2	10	8	8	5	6	7
39424	1	6	10	6	7	4	3	4	2	5	1	4	1	8	3	10	5	9	2	1
39425	3	3	10	1	5	2	7	5	3	4	2	7	5	4	1	6	4	8	8	9
39426	5	3	4	5	3	1	7	1	1	4	7	5	7	9	6	7	9	3	2	9
39430	4	10	8	5	9	7	2	9	3	6	7	6	9	4	4	5	6	3	5	2
39431	1	3	7	6	6	4	3	9	8	8	9	1	6	8	6	3	8	1	5	10
39432	8	9	10	1	1	3	4	7	4	6	1	4	3	8	4	7	7	6	3	1
39433	4	7	9	8	10	10	8	2	7	5	4	10	3	7	8	4	10	3	4	1
39434	2	8	8	5	6	6	4	7	10	9	10	5	4	9	3	4	8	2	2	4
39435	6	2	6	6	9	3	3	2	4	10	5	4	10	6	9	4	10	5	2	8
39436	4	1	10	10	7	7	8	2	3	9	6	2	5	7	10	8	2	6	10	5
39437	6	5	8	4	6	1	9	1	8	4	1	3	2	6	1	4	10	5	8	10
39438	2	1	8	1	5	9	2	10	7	9	4	1	4	7	1	2	5	8	3	8
39440	5	8	9	8	4	3	2	9	1	3	8	4	1	8	10	2	10	10	5	8
39446	1	3	6	6	6	8	8	7	6	8	3	5	1	4	2	10	5	9	1	10
39447	5	10	10	9	10	3	8	4	8	4	10	10	10	1	1	2	3	5	4	5
39498	5	6	3	2	10	3	1	3	8	6	4	1	5	7	9	8	4	9	1	7
39499	9	5	2	1	6	10	5	1	9	3	10	6	6	7	4	3	9	2	6	7
39500	7	7	8	10	2	4	10	3	1	8	3	2	7	5	4	10	7	2	8	10
39501	2	1	5	7	1	6	6	7	9	7	3	2	9	7	10	2	1	5	10	8
39502	7	8	2	7	2	8	5	2	1	6	8	8	5	8	6	1	5	8	1	2
39503	5	3	6	3	5	7	4	2	7	4	4	6	10	10	4	7	3	7	9	5
39504	4	2	8	9	5	5	7	6	8	5	9	8	5	2	3	3	6	7	1	8
39505	3	1	8	3	10	10	1	10	4	8	8	8	3	2	3	5	9	6	8	6
39506	6	10	5	10	5	8	5	1	7	3	8	2	7	8	6	8	6	1	5	4
39507	7	8	9	4	9	7	10	7	8	1	9	10	8	5	5	8	9	6	2	4
39510	7	6	3	3	9	2	7	6	8	3	8	8	7	3	2	10	3	1	9	7
39511	2	5	4	3	5	2	4	1	7	2	10	3	5	7	3	9	5	8	6	6
39512	3	6	9	6	9	1	7	2	5	6	6	5	1	1	5	1	4	3	7	6
39513	9	3	3	6	3	8	8	3	5	10	4	5	7	10	1	2	1	3	10	1
39514	8	7	3	2	4	2	6	6	10	9	1	10	9	2	4	7	4	5	9	3
39515	5	8	10	4	9	5	5	1	2	4	8	2	5	9	4	3	5	9	6	2
39516	4	10	8	4	7	9	4	8	10	6	8	6	2	7	3	1	6	1	1	7
39517	9	3	1	7	9	10	1	4	6	6	5	4	9	4	4	6	8	10	5	7
39518	3	5	7	7	9	9	9	6	1	2	2	2	4	10	3	9	2	6	2	8
39519	1	2	6	3	5	4	7	3	1	3	10	7	4	6	6	1	3	7	2	4
39520	6	6	5	6	8	4	7	9	4	2	7	8	4	6	3	2	10	3	6	3
39526	1	4	10	3	9	7	1	1	3	8	3	10	8	8	7	10	1	2	1	7
39527	7	2	3	5	6	3	1	5	6	7	5	2	7	6	2	9	8	5	9	10
39528	5	1	8	4	10	6	3	4	8	2	7	7	2	3	10	7	8	9	8	8
39580	9	8	4	3	4	8	10	7	1	9	6	6	8	5	8	6	7	2	7	3
39581	4	4	8	6	7	7	5	1	2	10	6	7	1	8	4	2	1	4	5	1
39582	7	5	4	9	1	1	6	4	5	10	6	9	8	10	5	3	2	5	3	3
39583	2	5	10	10	4	1	7	2	5	8	4	1	2	7	3	2	9	4	5	8
39584	5	2	9	4	1	5	3	3	7	7	4	10	8	6	2	5	9	5	2	7
39585	4	4	1	9	5	5	4	3	7	5	3	2	8	2	10	10	10	2	2	1
39586	9	6	1	8	1	10	9	1	10	2	6	4	9	2	10	5	7	3	9	8
39587	8	1	1	4	6	2	10	10	3	1	8	2	1	9	7	8	10	1	6	9
39588	6	1	8	8	2	8	3	5	7	3	8	8	1	6	9	5	7	1	9	8
39589	8	10	2	6	9	4	2	7	2	2	3	9	2	5	4	9	6	1	1	3
39590	1	4	6	4	1	9	9	9	5	5	3	8	10	9	8	8	2	8	1	6
39591	3	3	6	7	4	7	3	6	3	3	6	10	2	8	6	3	7	4	6	1
39592	10	8	4	3	9	6	1	5	1	6	8	5	8	3	1	1	3	3	5	1
39593	8	7	6	8	9	6	8	2	4	10	3	7	4	1	1	10	2	6	10	3
39594	5	9	4	1	10	10	1	2	7	5	10	6	8	10	10	10	10	9	7	7
39595	9	2	7	10	4	1	10	4	8	8	6	8	3	6	4	9	1	2	10	8
39596	9	6	9	3	4	7	6	7	3	6	10	5	3	8	1	1	7	10	8	6
39597	5	2	9	9	1	7	3	8	1	4	3	10	1	9	8	9	10	8	8	8
39598	8	5	8	5	10	1	8	5	10	2	9	9	7	2	6	10	9	1	6	3
39599	5	6	9	4	5	4	10	2	8	6	7	3	7	6	3	10	9	3	2	2
39600	6	6	10	4	1	6	5	6	6	4	8	2	2	6	6	6	1	8	2	8
39601	1	4	3	4	7	9	7	10	4	8	4	4	6	3	8	6	6	7	7	10
39602	6	6	9	4	7	9	1	10	1	10	9	7	4	6	1	7	3	8	9	2
39603	1	10	2	3	6	5	3	9	2	2	6	10	1	4	6	1	3	8	1	5
39607	2	5	1	10	7	8	5	4	3	9	3	4	7	5	7	1	6	2	3	9
39608	7	6	4	2	4	5	2	7	7	4	5	6	3	4	10	8	3	2	7	2
39661	4	10	5	3	7	1	2	9	5	9	10	6	9	6	5	8	9	1	10	2
39662	2	8	9	1	2	1	2	2	8	10	3	3	6	10	7	8	10	4	4	6
39663	8	6	1	8	6	1	5	8	6	5	4	4	7	3	4	2	1	1	8	10
39664	2	9	4	3	1	3	1	5	8	1	5	2	6	8	7	5	8	10	9	1
39665	6	10	9	9	2	2	9	7	9	8	4	9	8	5	6	6	10	2	10	10
39666	7	8	2	9	7	4	4	3	5	8	10	5	2	2	3	3	1	6	7	8
39667	4	4	8	6	10	7	8	7	3	6	6	8	2	8	3	2	6	1	8	2
39668	4	7	10	5	9	2	6	1	8	8	6	6	6	10	3	8	10	2	5	4
39669	10	3	7	8	10	3	9	9	4	5	7	6	3	10	9	4	2	3	2	3
39670	9	3	5	5	6	9	2	4	1	10	7	10	3	8	7	7	6	4	4	7
39671	8	6	7	7	6	2	10	5	10	5	3	1	6	2	2	9	1	7	10	10
39672	6	7	5	2	2	2	6	8	3	5	4	6	3	8	7	2	6	5	3	7
39673	7	9	4	3	3	1	7	2	10	8	9	9	8	3	1	8	9	5	8	4
39674	6	8	1	9	10	5	8	10	8	1	7	7	7	5	8	3	6	3	7	5
39675	3	4	2	4	2	1	8	6	8	4	6	8	1	9	2	1	5	9	4	2
39676	7	9	5	7	8	10	9	3	3	2	2	7	10	5	9	8	4	9	6	4
39677	9	4	2	9	6	5	1	10	8	9	3	4	3	2	3	5	5	5	9	2
39678	2	4	2	9	3	8	10	7	8	6	3	1	5	4	7	8	4	3	5	3
39679	8	4	1	4	10	6	9	9	6	3	9	3	5	5	1	3	3	5	5	1
39680	10	4	9	6	8	3	9	1	2	1	3	7	7	2	3	10	2	10	4	7
39681	7	5	2	10	1	3	9	7	8	5	1	4	5	8	7	1	6	4	1	2
39682	1	1	4	6	4	2	7	8	10	8	6	5	10	4	6	7	8	4	5	3
39683	4	5	9	2	9	6	3	9	7	5	6	9	10	6	2	1	4	7	1	7
39684	2	6	8	7	1	10	3	5	8	10	6	4	7	6	7	6	7	1	5	2
39685	8	9	1	5	9	9	3	8	5	9	5	8	9	1	6	5	2	6	6	6
39688	10	3	1	1	9	7	10	8	10	10	3	8	2	9	6	1	4	7	8	1
39689	1	4	4	1	6	2	2	1	9	8	6	1	2	2	3	8	6	9	6	7
39690	6	5	8	9	1	5	5	4	8	6	4	10	1	5	8	2	6	4	8	3
39742	8	9	8	10	3	2	7	10	2	8	8	3	4	8	6	6	9	6	7	4
39743	9	10	3	8	5	3	9	8	8	4	4	6	1	5	1	8	6	3	1	8
39744	10	9	2	2	5	4	6	8	8	1	7	2	1	10	10	2	10	7	10	8
39745	6	4	5	9	3	5	1	10	5	5	5	2	7	2	9	5	7	7	8	9
39746	2	7	10	9	4	10	1	6	5	1	7	7	3	6	5	3	1	3	10	9
39747	10	7	7	9	1	10	8	5	3	6	5	9	9	6	8	10	7	7	4	10
39748	5	8	9	2	10	3	1	4	4	3	5	7	5	3	6	5	3	3	7	10
39749	2	9	3	10	8	4	5	10	2	9	7	3	3	4	5	3	10	7	7	9
39750	5	5	4	1	10	3	7	9	1	5	4	7	6	3	10	2	9	2	7	10
39751	8	5	7	9	10	9	5	8	2	10	10	4	5	4	9	2	4	6	6	1
39752	9	9	6	1	5	10	9	3	7	3	8	5	10	8	4	9	6	9	6	10
39753	7	1	6	5	5	1	5	1	3	5	2	9	10	8	1	10	10	8	10	8
39754	3	1	5	5	9	9	3	2	8	6	4	8	6	9	10	10	7	10	5	9
39755	6	1	4	3	7	8	2	10	9	1	4	2	7	9	10	9	5	6	10	4
39756	1	7	1	7	3	5	6	10	8	3	1	7	4	9	1	8	3	9	4	7
39757	10	7	5	3	2	10	5	2	1	2	3	7	9	5	2	5	8	1	6	2
39758	8	4	5	8	3	3	8	6	10	1	8	5	7	2	9	4	4	2	5	4
39759	9	2	4	7	10	6	9	6	8	10	8	8	1	4	8	7	6	8	1	9
39760	8	9	4	2	6	9	4	3	10	4	7	9	2	9	5	7	7	8	3	6
