BIO01_Mean	BIO02_Mean	BIO03_Mean	BIO04_Mean	BIO05_Mean	BIO06_Mean	BIO07_Mean	BIO08_Mean	BIO09_Mean	BIO10_Mean	BIO11_Mean	BIO12_Mean	BIO13_Mean	BIO14_Mean	BIO15_Mean	BIO16_Mean	BIO17_Mean	BIO18_Mean	BIO19_Mean	CDD_IDW1N10	CSDI_IDW1N10	CWD_IDW1N10	DTR_IDW1N10	FD_IDW1N10	GSL_IDW1N10	ID_IDW1N10	PRCPTOT_IDW1N10	R10MM_IDW1N10	R1MM_IDW1N10	R20MM_IDW1N10	R95P_IDW1N10	R99P_IDW1N10	RX1DAY_IDW1N10	RX5DAY_IDW1N10	SDII_IDW1N10	SU_IDW1N10	TN10P_IDW1N10	TN90P_IDW1N10	TNN_IDW1N10	TNX_IDW1N10	TR_IDW1N10	TX10P_IDW1N10	TX90P_IDW1N10	TXN_IDW1N10	TXX_IDW1N10	WSDI_IDW1N10
BIO11_Mean	0.850417	0.041573	0.799444	-0.808716	0.166501	0.964180	-0.680849	0.742131	0.044445	0.239216	1.000000	0.374299	0.537856	-0.061272	0.574890	0.476150	-0.077676	0.479833	0.132360	-0.271803	0.443076	0.624590	-0.297776	-0.493680	0.435249	-0.178416	0.585057	0.511778	0.637449	0.447272	0.621640	0.650358	0.639389	0.658001	0.573238	0.886298	0.337534	-0.225758	0.859381	-0.168370	0.797603	0.605175	-0.495093	0.964028	-0.350479	-0.336340
BIO12_Mean	-0.050684	-0.287663	0.605184	-0.678988	-0.486400	0.417641	-0.635230	-0.046507	0.018632	-0.524837	0.374299	1.000000	0.933257	0.540181	0.049786	0.963258	0.561778	0.799803	0.765889	-0.684988	0.061414	0.871859	-0.509779	-0.045107	-0.011283	-0.000139	0.900187	0.880523	0.881986	0.833823	0.886212	0.846748	0.769175	0.828299	0.848206	0.138111	0.553419	-0.401135	0.414023	-0.729689	0.043599	0.247031	-0.071748	0.394805	-0.687605	-0.406546
BIO13_Mean	0.133025	-0.147630	0.693598	-0.765606	-0.373185	0.536236	-0.662469	0.100084	0.024638	-0.408647	0.537856	0.933257	1.000000	0.362454	0.258194	0.986086	0.363623	0.768989	0.633590	-0.628952	0.172501	0.841619	-0.484220	-0.133884	0.077881	-0.022793	0.859236	0.809421	0.875689	0.750918	0.860174	0.833948	0.783725	0.840834	0.831617	0.324457	0.595668	-0.423466	0.531442	-0.663075	0.221784	0.396076	-0.223201	0.556427	-0.663841	-0.454723
BIO14_Mean	-0.359551	-0.298164	0.303291	-0.287345	-0.528140	0.028933	-0.345279	-0.190030	-0.142692	-0.566209	-0.061272	0.540181	0.362454	1.000000	-0.213452	0.378154	0.965999	0.567756	0.392465	-0.483130	-0.052312	0.321875	-0.336534	0.135886	-0.207071	0.005579	0.364892	0.350107	0.379240	0.475872	0.420725	0.414000	0.425802	0.438061	0.333662	-0.292173	0.225062	-0.202364	0.088221	-0.580066	-0.272001	0.065502	0.136182	-0.053776	-0.536702	-0.147051
BIO15_Mean	0.561888	0.186744	0.363363	-0.408209	0.198617	0.506678	-0.290080	0.609585	0.033363	0.229146	0.574890	0.049786	0.258194	-0.213452	1.000000	0.183874	-0.253464	0.106948	-0.083609	-0.091452	0.447909	0.137340	-0.048992	-0.226623	0.200679	-0.039276	0.114540	0.059162	0.174893	0.023655	0.135292	0.160807	0.222330	0.224450	0.160303	0.563313	0.305305	-0.261164	0.419911	0.048757	0.521898	0.661866	-0.488868	0.549934	-0.086507	-0.168870
BIO16_Mean	0.078090	-0.170389	0.631340	-0.714577	-0.383760	0.477878	-0.621563	0.045266	0.026502	-0.422623	0.476150	0.963258	0.986086	0.378154	0.183874	1.000000	0.382295	0.747532	0.703011	-0.613359	0.148848	0.858442	-0.456565	-0.108313	0.055408	-0.012099	0.883814	0.851812	0.874659	0.783131	0.865979	0.827905	0.754655	0.817807	0.853960	0.268030	0.615317	-0.444147	0.461107	-0.666703	0.148471	0.344204	-0.199508	0.498218	-0.633199	-0.418173
BIO17_Mean	-0.395807	-0.403047	0.284629	-0.293033	-0.571822	0.038525	-0.379677	-0.225783	-0.104271	-0.600711	-0.077676	0.561778	0.363623	0.965999	-0.253464	0.382295	1.000000	0.581234	0.405497	-0.556796	-0.098179	0.336282	-0.418120	0.160047	-0.238107	0.007500	0.385914	0.362190	0.413581	0.479099	0.446296	0.441323	0.463241	0.466870	0.344453	-0.319719	0.213753	-0.187090	0.106561	-0.591231	-0.263996	0.028952	0.203410	-0.070860	-0.578758	-0.168859
BIO18_Mean	0.073944	-0.204346	0.760569	-0.750251	-0.463206	0.510883	-0.696750	0.131414	-0.060523	-0.478874	0.479833	0.799803	0.768989	0.567756	0.106948	0.747532	0.581234	1.000000	0.447302	-0.639256	0.142361	0.748043	-0.510511	-0.143220	0.081233	-0.056410	0.729567	0.674803	0.780203	0.646649	0.768578	0.765057	0.738637	0.782104	0.655968	0.221149	0.367288	-0.227874	0.545252	-0.720370	0.160289	0.269345	-0.058596	0.488129	-0.751826	-0.408613
BIO19_Mean	-0.150756	-0.320463	0.316853	-0.371077	-0.381104	0.212082	-0.404288	-0.157210	0.047158	-0.403319	0.132360	0.765889	0.633590	0.392465	-0.083609	0.703011	0.405497	0.447302	1.000000	-0.464660	0.015108	0.661059	-0.319881	0.018821	-0.046366	0.037245	0.673143	0.709454	0.588710	0.722467	0.641579	0.594440	0.508202	0.556841	0.649570	-0.063140	0.396097	-0.349869	0.160524	-0.517775	-0.129160	0.083416	0.023490	0.123586	-0.435996	-0.190510
CDD_IDW1N10	0.153468	0.599098	-0.506007	0.601514	0.553390	-0.420748	0.678568	0.144411	-0.316247	0.553734	-0.271803	-0.684988	-0.628952	-0.483130	-0.091452	-0.613359	-0.556796	-0.639256	-0.464660	1.000000	0.112187	-0.628164	0.802867	-0.194431	0.244628	-0.076537	-0.646338	-0.556835	-0.744684	-0.559454	-0.708335	-0.726002	-0.781236	-0.765453	-0.532822	-0.056604	-0.375869	0.251569	-0.513609	0.512884	-0.208837	-0.159232	-0.108761	-0.250549	0.686745	0.594961
CSDI_IDW1N10	0.466371	0.213793	0.301600	-0.295285	0.146856	0.359376	-0.202103	0.588573	-0.265082	0.196538	0.443076	0.061414	0.172501	-0.052312	0.447909	0.148848	-0.098179	0.142361	0.015108	0.112187	1.000000	0.134891	0.150960	-0.118611	0.198648	-0.028671	0.110678	0.100573	0.105634	0.119702	0.137164	0.153368	0.224839	0.224148	0.294103	0.405937	0.524111	-0.264518	0.206697	-0.027913	0.259142	0.678442	-0.608304	0.374882	-0.108950	0.182929
CWD_IDW1N10	0.262405	-0.238230	0.728380	-0.773907	-0.285420	0.660328	-0.709677	0.189276	0.111177	-0.287816	0.624590	0.871859	0.841619	0.321875	0.137340	0.858442	0.336282	0.748043	0.661059	-0.628164	0.134891	1.000000	-0.473350	-0.147813	0.096613	-0.044736	0.981438	0.955434	0.957795	0.857985	0.962288	0.939276	0.824511	0.879967	0.896250	0.442448	0.469522	-0.341511	0.590254	-0.625878	0.314314	0.288303	-0.196979	0.621448	-0.606378	-0.418345
DTR_IDW1N10	0.122759	0.691085	-0.508153	0.632602	0.631380	-0.463676	0.760918	0.131077	-0.153846	0.571759	-0.297776	-0.509779	-0.484220	-0.336534	-0.048992	-0.456565	-0.418120	-0.510511	-0.319881	0.802867	0.150960	-0.473350	1.000000	0.030982	0.064059	-0.015998	-0.483495	-0.382085	-0.603726	-0.402202	-0.567005	-0.605875	-0.688197	-0.653610	-0.370926	-0.049296	-0.138694	-0.024197	-0.661747	0.399496	-0.339548	-0.013982	-0.216919	-0.308795	0.761674	0.595099
FD_IDW1N10	-0.489093	-0.179735	-0.360109	0.341905	-0.166034	-0.431372	0.248832	-0.449009	0.154738	-0.212713	-0.493680	-0.045107	-0.133884	0.135886	-0.226623	-0.108313	0.160047	-0.143220	0.018821	-0.194431	-0.118611	-0.147813	0.030982	1.000000	-0.904857	0.471142	-0.100644	-0.105809	-0.082976	-0.093897	-0.105468	-0.118635	-0.076455	-0.106091	-0.097054	-0.419150	0.026951	0.041048	-0.459259	-0.047359	-0.337469	-0.210693	0.251930	-0.571696	0.071574	0.062175
GSL_IDW1N10	0.475409	0.206459	0.300530	-0.261815	0.191768	0.363257	-0.177886	0.384101	-0.079857	0.251362	0.435249	-0.011283	0.077881	-0.207071	0.200679	0.055408	-0.238107	0.081233	-0.046366	0.244628	0.198648	0.096613	0.064059	-0.904857	1.000000	-0.495810	0.042592	0.060977	0.008641	0.056509	0.042863	0.052132	0.017713	0.044053	0.066432	0.394660	-0.030188	0.017067	0.366799	0.106232	0.295986	0.188525	-0.278512	0.491428	0.009470	-0.035830
ID_IDW1N10	-0.172897	-0.061549	-0.119068	0.125121	-0.060292	-0.147613	0.083031	-0.190842	0.062440	-0.075497	-0.178416	-0.000139	-0.022793	0.005579	-0.039276	-0.012099	0.007500	-0.056410	0.037245	-0.076537	-0.028671	-0.044736	-0.015998	0.471142	-0.495810	1.000000	-0.023220	-0.027876	-0.012544	-0.029222	-0.028767	-0.036701	-0.012465	-0.022427	-0.020123	-0.141187	-0.018447	0.108329	-0.165729	0.022696	-0.104147	-0.105461	0.145926	-0.226226	0.067868	0.042955
PRCPTOT_IDW1N10	0.212953	-0.255249	0.694584	-0.755437	-0.310915	0.621825	-0.693971	0.144509	0.107911	-0.319477	0.585057	0.900187	0.859236	0.364892	0.114540	0.883814	0.385914	0.729567	0.673143	-0.646338	0.110678	0.981438	-0.483495	-0.100644	0.042592	-0.023220	1.000000	0.980294	0.965121	0.901723	0.981224	0.954481	0.847851	0.897951	0.932305	0.402511	0.507380	-0.357531	0.554789	-0.645052	0.269295	0.280659	-0.179588	0.583512	-0.611483	-0.407211
R10MM_IDW1N10	0.177981	-0.207753	0.622623	-0.669061	-0.279933	0.539043	-0.607928	0.113836	0.084979	-0.293851	0.511778	0.880523	0.809421	0.350107	0.059162	0.851812	0.362190	0.674803	0.709454	-0.556835	0.100573	0.955434	-0.382085	-0.105809	0.060977	-0.027876	0.980294	1.000000	0.896513	0.927827	0.939278	0.900118	0.770235	0.829464	0.931513	0.345864	0.488260	-0.340858	0.449031	-0.629834	0.165643	0.237795	-0.163364	0.509119	-0.540902	-0.334796
R1MM_IDW1N10	0.227981	-0.313950	0.756987	-0.829478	-0.355425	0.689107	-0.775682	0.166302	0.127174	-0.357527	0.637449	0.881986	0.875689	0.379240	0.174893	0.874659	0.413581	0.780203	0.588710	-0.744684	0.105634	0.957795	-0.603726	-0.082976	0.008641	-0.012544	0.965121	0.896513	1.000000	0.810180	0.976053	0.966723	0.898119	0.934747	0.868760	0.438523	0.497165	-0.346697	0.663630	-0.643216	0.378374	0.314281	-0.171470	0.637596	-0.687019	-0.495809
R20MM_IDW1N10	0.107611	-0.246551	0.629691	-0.642465	-0.342757	0.501881	-0.616055	0.080663	0.043777	-0.352796	0.447272	0.833823	0.750918	0.475872	0.023655	0.783131	0.479099	0.646649	0.722467	-0.559454	0.119702	0.857985	-0.402202	-0.093897	0.056509	-0.029222	0.901723	0.927827	0.810180	1.000000	0.907033	0.883320	0.804735	0.849062	0.892221	0.223783	0.434693	-0.325802	0.436198	-0.658312	0.083523	0.239779	-0.103109	0.428852	-0.593012	-0.288993
R95P_IDW1N10	0.219909	-0.305284	0.761296	-0.814120	-0.360352	0.676234	-0.768240	0.165996	0.099380	-0.359301	0.621640	0.886212	0.860174	0.420725	0.135292	0.865979	0.446296	0.768578	0.641579	-0.708335	0.137164	0.962288	-0.567005	-0.105468	0.042863	-0.028767	0.981224	0.939278	0.976053	0.907033	1.000000	0.991960	0.925876	0.959189	0.918600	0.402082	0.490009	-0.332902	0.634779	-0.671457	0.314236	0.310421	-0.167677	0.612733	-0.691818	-0.439229
R99P_IDW1N10	0.245206	-0.324016	0.788384	-0.838265	-0.364364	0.711447	-0.799255	0.194620	0.101669	-0.354528	0.650358	0.846748	0.833948	0.414000	0.160807	0.827905	0.441323	0.765057	0.594440	-0.726002	0.153368	0.939276	-0.605875	-0.118635	0.052132	-0.036701	0.954481	0.900118	0.966723	0.883320	0.991960	1.000000	0.955136	0.974892	0.889727	0.426074	0.464521	-0.299051	0.684519	-0.656096	0.363736	0.323822	-0.168177	0.638575	-0.713916	-0.456577
RX1DAY_IDW1N10	0.224235	-0.382490	0.787681	-0.845940	-0.409428	0.718029	-0.832053	0.210367	0.087590	-0.386148	0.639389	0.769175	0.783725	0.425802	0.222330	0.754655	0.463241	0.738637	0.508202	-0.781236	0.224839	0.824511	-0.688197	-0.076455	0.017713	-0.012465	0.847851	0.770235	0.898119	0.804735	0.925876	0.955136	1.000000	0.988438	0.833658	0.392431	0.472960	-0.268345	0.722435	-0.619080	0.403019	0.385432	-0.163740	0.612825	-0.766302	-0.473576
RX5DAY_IDW1N10	0.237510	-0.334105	0.815819	-0.864559	-0.398251	0.723483	-0.829668	0.218196	0.078280	-0.385976	0.658001	0.828299	0.840834	0.438061	0.224450	0.817807	0.466870	0.782104	0.556841	-0.765453	0.224148	0.879967	-0.653610	-0.106091	0.044053	-0.022427	0.897951	0.829464	0.934747	0.849062	0.959189	0.974892	0.988438	1.000000	0.875422	0.408006	0.494901	-0.309037	0.714931	-0.660612	0.381569	0.397924	-0.178842	0.636519	-0.772110	-0.475388
SDII_IDW1N10	0.245805	-0.171742	0.644604	-0.706283	-0.254244	0.584248	-0.628952	0.226536	-0.006596	-0.260497	0.573238	0.848206	0.831617	0.333662	0.160303	0.853960	0.344453	0.655968	0.649570	-0.532822	0.294103	0.896250	-0.370926	-0.097054	0.066432	-0.020123	0.932305	0.931513	0.868760	0.892221	0.918600	0.889727	0.833658	0.875422	1.000000	0.395323	0.590629	-0.394212	0.477829	-0.598423	0.229666	0.420553	-0.275753	0.556284	-0.572858	-0.261682
SU_IDW1N10	0.891604	0.210615	0.574677	-0.561930	0.408405	0.812272	-0.410201	0.746444	0.099590	0.468501	0.886298	0.138111	0.324457	-0.292173	0.563313	0.268030	-0.319719	0.221149	-0.063140	-0.056604	0.405937	0.442448	-0.049296	-0.419150	0.394660	-0.141187	0.402511	0.345864	0.438523	0.223783	0.402082	0.426074	0.392431	0.408006	0.395323	1.000000	0.219508	-0.134867	0.714749	0.152250	0.871977	0.537044	-0.523923	0.894046	0.004337	-0.211734
TN10P_IDW1N10	0.151454	-0.000855	0.289502	-0.392310	-0.063143	0.298121	-0.280358	0.186546	0.025365	-0.110556	0.337534	0.553419	0.595668	0.225062	0.305305	0.615317	0.213753	0.367288	0.396097	-0.375869	0.524111	0.469522	-0.138694	0.026951	-0.030188	-0.018447	0.507380	0.488260	0.497165	0.434693	0.490009	0.464521	0.472960	0.494901	0.590629	0.219508	1.000000	-0.746658	0.195396	-0.298714	0.075069	0.636008	-0.525584	0.313315	-0.281850	-0.159991
TN90P_IDW1N10	-0.137967	-0.080624	-0.147934	0.207331	-0.097708	-0.186128	0.091482	-0.170009	-0.105308	-0.024919	-0.225758	-0.401135	-0.423466	-0.202364	-0.261164	-0.444147	-0.187090	-0.227874	-0.349869	0.251569	-0.264518	-0.341511	-0.024197	0.041048	0.017067	0.108329	-0.357531	-0.340858	-0.346697	-0.325802	-0.332902	-0.299051	-0.268345	-0.309037	-0.394212	-0.134867	-0.746658	1.000000	-0.067909	0.210262	-0.000749	-0.535722	0.514278	-0.206335	0.125867	0.127106
TNN_IDW1N10	0.580452	-0.266838	0.823445	-0.854173	-0.142210	0.916965	-0.830642	0.504612	0.074405	-0.055792	0.859381	0.414023	0.531442	0.088221	0.419911	0.461107	0.106561	0.545252	0.160524	-0.513609	0.206697	0.590254	-0.661747	-0.459259	0.366799	-0.165729	0.554789	0.449031	0.663630	0.436198	0.634779	0.684519	0.722435	0.714931	0.477829	0.714749	0.195396	-0.067909	1.000000	-0.188716	0.818265	0.414946	-0.207810	0.883055	-0.536080	-0.494732
TNX_IDW1N10	0.249747	0.186620	-0.573240	0.582918	0.639675	-0.201512	0.553263	0.122249	0.187410	0.695535	-0.168370	-0.729689	-0.663075	-0.580066	0.048757	-0.666703	-0.591231	-0.720370	-0.517775	0.512884	-0.027913	-0.625878	0.399496	-0.047359	0.106232	0.022696	-0.645052	-0.629834	-0.643216	-0.658312	-0.671457	-0.656096	-0.619080	-0.660612	-0.598423	0.152250	-0.298714	0.210262	-0.188716	1.000000	0.266059	-0.103419	-0.022434	-0.137200	0.835408	0.330814
TR_IDW1N10	0.769086	-0.053845	0.511127	-0.530790	0.286953	0.800411	-0.474580	0.618285	0.198801	0.380433	0.797603	0.043599	0.221784	-0.272001	0.521898	0.148471	-0.263996	0.160289	-0.129160	-0.208837	0.259142	0.314314	-0.339548	-0.337469	0.295986	-0.104147	0.269295	0.165643	0.378374	0.083523	0.314236	0.363736	0.403019	0.381569	0.229666	0.871977	0.075069	-0.000749	0.818265	0.266059	1.000000	0.402489	-0.303674	0.812619	-0.078950	-0.291616
TX10P_IDW1N10	0.509585	0.195509	0.482017	-0.515781	0.092222	0.541506	-0.383166	0.600446	-0.203486	0.099141	0.605175	0.247031	0.396076	0.065502	0.661866	0.344204	0.028952	0.269345	0.083416	-0.159232	0.678442	0.288303	-0.013982	-0.210693	0.188525	-0.105461	0.280659	0.237795	0.314281	0.239779	0.310421	0.323822	0.385432	0.397924	0.420553	0.537044	0.636008	-0.535722	0.414946	-0.103419	0.402489	1.000000	-0.723255	0.567027	-0.199171	-0.146473
TX90P_IDW1N10	-0.532310	-0.331293	-0.272145	0.299913	-0.253716	-0.378759	0.152718	-0.526649	0.131596	-0.277006	-0.495093	-0.071748	-0.223201	0.136182	-0.488868	-0.199508	0.203410	-0.058596	0.023490	-0.108761	-0.608304	-0.196979	-0.216919	0.251930	-0.278512	0.145926	-0.179588	-0.163364	-0.171470	-0.103109	-0.167677	-0.168177	-0.163740	-0.178842	-0.275753	-0.523923	-0.525584	0.514278	-0.207810	-0.022434	-0.303674	-0.723255	1.000000	-0.458747	-0.067592	0.181834
TXN_IDW1N10	0.798459	0.044201	0.784297	-0.803227	0.125788	0.923030	-0.672268	0.706637	-0.004748	0.193526	0.964028	0.394805	0.556427	-0.053776	0.549934	0.498218	-0.070860	0.488129	0.123586	-0.250549	0.374882	0.621448	-0.308795	-0.571696	0.491428	-0.226226	0.583512	0.509119	0.637596	0.428852	0.612733	0.638575	0.612825	0.636519	0.556284	0.894046	0.313315	-0.206335	0.883055	-0.137200	0.812619	0.567027	-0.458747	1.000000	-0.330039	-0.336991
TXX_IDW1N10	0.126797	0.430038	-0.706527	0.759436	0.711762	-0.441639	0.792017	-0.006293	0.141133	0.700546	-0.350479	-0.687605	-0.663841	-0.536702	-0.086507	-0.633199	-0.578758	-0.751826	-0.435996	0.686745	-0.108950	-0.606378	0.761674	0.071574	0.009470	0.067868	-0.611483	-0.540902	-0.687019	-0.593012	-0.691818	-0.713916	-0.766302	-0.772110	-0.572858	0.004337	-0.281850	0.125867	-0.536080	0.835408	-0.078950	-0.199171	-0.067592	-0.330039	1.000000	0.433234
WSDI_IDW1N10	-0.026333	0.260243	-0.476801	0.550629	0.381856	-0.396224	0.554152	0.110026	-0.228468	0.374615	-0.336340	-0.406546	-0.454723	-0.147051	-0.168870	-0.418173	-0.168859	-0.408613	-0.190510	0.594961	0.182929	-0.418345	0.595099	0.062175	-0.035830	0.042955	-0.407211	-0.334796	-0.495809	-0.288993	-0.439229	-0.456577	-0.473576	-0.475388	-0.261682	-0.211734	-0.159991	0.127106	-0.494732	0.330814	-0.291616	-0.146473	0.181834	-0.336991	0.433234	1.000000
