HID	I001	I002	I003	I004	I005	I006	I007	I008	I009	I010	I991	I992	I993	I994	I995	I996	I997	I998	I999	I1000
729	8	4	9	3	5	2	10	1	3	10	5	4	5	8	1	9	8	9	10	9
730	2	9	7	5	6	5	10	3	1	1	9	10	7	3	4	2	4	1	3	4
736	1	6	8	1	10	1	8	6	7	7	9	9	2	1	6	9	9	5	3	10
737	7	9	7	9	8	3	5	7	1	10	8	6	1	3	5	8	10	2	9	1
738	5	3	2	4	4	1	4	3	9	1	7	5	6	3	3	1	7	8	5	9
741	9	7	8	9	5	3	8	8	1	10	9	8	6	6	8	4	2	10	1	10
742	7	4	5	4	10	6	10	1	9	2	8	3	8	10	4	2	4	1	1	2
745	5	10	8	8	10	5	8	3	8	3	2	2	7	1	9	4	7	8	4	10
746	9	3	6	5	1	6	8	2	10	2	3	5	10	7	2	6	10	5	8	5
747	3	5	2	1	2	1	1	3	5	1	6	7	4	3	5	1	2	5	10	4
748	2	9	8	2	7	1	5	10	2	5	10	6	7	5	3	9	1	8	6	3
809	4	8	8	4	9	4	4	1	10	5	1	3	4	6	5	9	4	3	7	9
810	1	10	6	9	10	6	7	3	5	6	8	2	7	10	5	6	1	10	5	1
811	5	6	7	6	5	3	2	7	1	6	8	6	9	2	10	6	3	7	1	6
816	2	4	2	7	2	3	8	1	6	3	9	1	4	8	1	5	8	4	6	4
817	5	6	6	7	3	7	2	4	4	4	8	3	9	3	2	5	1	4	5	7
818	8	4	6	8	7	6	2	8	3	2	6	7	8	1	1	9	2	6	7	6
819	9	4	3	10	9	9	2	4	1	3	1	8	9	6	7	5	9	8	10	5
822	10	10	7	8	6	10	8	7	6	8	2	9	8	9	3	3	10	2	2	1
823	6	10	8	2	10	2	4	6	10	5	8	7	3	2	6	5	1	9	9	2
825	6	3	7	6	9	6	10	2	6	1	5	10	10	6	1	8	2	1	8	8
826	1	3	2	4	9	3	3	3	8	5	1	8	9	9	5	3	9	9	10	10
827	8	6	3	4	4	7	2	7	4	9	7	3	7	5	5	10	2	2	9	10
828	7	7	9	4	7	3	8	7	10	6	5	1	5	10	9	5	5	1	9	2
829	3	3	4	1	5	10	5	7	7	2	2	8	5	3	8	1	1	4	3	2
889	6	2	9	5	2	5	5	3	6	6	1	10	9	3	2	1	5	5	6	3
890	10	10	5	8	6	1	9	3	10	1	7	1	8	6	4	8	7	8	2	7
891	9	5	1	8	2	7	2	4	6	2	5	3	2	5	4	8	10	10	9	1
892	1	3	8	8	4	7	10	10	7	7	4	7	1	5	2	7	10	7	8	2
898	5	6	9	10	10	3	4	3	3	4	5	10	5	4	2	9	3	6	9	7
899	7	5	9	8	5	6	8	4	9	8	2	1	2	3	1	3	1	2	8	7
900	7	2	7	7	10	5	8	8	1	2	7	9	2	2	2	9	8	3	2	10
901	3	1	5	5	1	2	4	10	10	8	1	4	5	8	6	1	10	3	3	5
904	9	8	4	10	3	6	2	2	9	2	4	9	6	4	5	9	3	9	5	1
905	9	4	10	5	3	3	6	8	3	2	1	10	5	4	2	6	3	5	5	8
906	10	2	6	4	10	3	9	9	5	9	2	4	4	7	3	1	5	7	5	9
907	3	3	2	5	8	7	1	2	1	7	8	2	1	10	4	7	7	7	6	2
908	3	3	8	8	1	8	9	3	5	7	3	8	1	5	6	1	10	3	4	4
909	1	6	7	3	2	2	8	3	3	8	6	7	4	1	7	4	8	8	2	1
910	5	5	8	3	10	4	5	4	4	2	9	6	10	10	7	5	10	7	6	9
911	6	7	5	8	4	8	8	1	2	7	6	7	10	4	4	10	2	7	8	6
972	2	8	10	2	6	9	6	1	6	8	2	8	9	8	4	6	8	8	6	5
973	6	3	2	9	7	3	1	6	2	6	5	9	10	8	9	2	7	2	3	4
979	7	2	2	2	1	9	5	3	1	5	1	2	10	6	5	10	4	1	1	9
980	8	2	1	9	3	4	3	1	9	1	9	6	7	4	3	3	7	5	6	8
981	6	9	1	3	8	10	9	1	1	10	1	2	9	4	1	2	2	5	9	3
982	4	5	5	5	7	8	1	8	7	3	10	10	9	6	5	3	6	7	7	6
983	9	6	8	4	8	3	5	6	2	1	4	5	3	4	7	8	1	1	9	1
985	4	3	3	3	1	1	1	5	3	2	7	1	1	5	1	6	8	1	3	6
986	9	5	4	5	6	4	8	3	4	8	10	7	6	7	7	10	3	3	5	2
987	2	1	8	5	2	6	9	9	8	4	8	6	9	7	7	1	8	7	10	4
988	10	6	8	10	6	7	9	6	7	7	5	5	10	4	10	9	3	7	6	5
989	2	4	9	2	10	5	8	2	8	9	3	3	2	4	1	6	8	2	6	3
990	8	5	6	5	1	1	9	7	8	2	1	2	5	5	5	1	9	2	10	3
991	6	2	7	10	6	8	4	3	3	10	4	2	8	5	5	8	9	10	10	8
992	8	7	3	5	7	2	7	7	1	4	1	3	9	2	3	4	3	6	3	10
1060	8	3	5	5	1	3	1	10	9	9	5	5	5	6	4	9	7	7	7	4
1061	9	9	3	4	8	8	2	2	5	4	9	8	7	2	8	3	9	8	6	2
1062	3	10	5	9	7	9	9	3	10	7	6	3	1	7	2	1	4	9	8	4
1063	5	9	4	2	4	3	4	4	2	3	6	2	9	6	5	6	3	4	1	6
1064	8	1	1	5	8	8	3	8	9	8	8	9	1	10	10	4	7	4	8	2
1065	1	6	6	5	6	7	4	5	3	9	3	6	4	3	6	6	8	2	6	8
1066	5	6	5	7	5	9	4	5	10	8	9	10	7	7	5	7	8	9	3	2
1067	4	9	10	5	10	7	1	7	7	6	4	7	3	7	3	9	7	9	3	4
1068	3	7	5	6	9	3	7	7	8	8	9	2	5	3	5	8	4	1	6	9
1069	4	1	4	6	7	3	1	7	2	1	3	4	5	2	6	1	1	7	3	9
1070	7	1	3	3	7	3	7	4	5	2	8	6	5	9	4	4	10	1	8	1
1071	6	9	10	9	6	10	7	1	7	4	8	9	5	8	9	7	1	7	4	5
1072	2	4	8	5	10	3	4	7	2	4	7	9	10	10	2	1	4	4	3	9
1073	1	5	10	4	10	9	5	2	9	2	9	5	5	4	8	3	3	6	3	2
1141	3	7	4	6	6	2	4	2	8	5	7	3	8	10	3	6	1	10	8	9
1142	3	9	2	9	10	8	3	8	6	3	6	5	1	8	1	9	1	3	1	4
1143	2	4	6	3	5	1	2	2	7	1	2	5	1	2	1	6	6	3	8	10
1144	10	10	5	8	8	3	9	10	1	8	4	6	7	9	3	2	10	4	7	3
1145	8	4	3	10	3	9	4	1	5	9	4	9	2	5	8	6	6	5	10	10
1146	10	3	3	7	6	10	4	7	10	9	9	8	4	4	3	8	9	5	2	1
1147	10	3	6	10	10	3	4	5	5	3	9	4	3	9	8	5	6	2	7	9
1148	8	5	5	7	1	7	6	5	4	5	6	4	10	4	9	2	3	2	3	9
1149	10	3	3	3	3	8	8	8	1	4	2	10	4	1	7	7	4	5	6	9
1150	2	6	1	2	2	4	6	8	3	5	4	6	8	10	6	6	8	9	2	3
1151	5	2	1	2	9	6	7	3	7	2	9	10	4	5	2	2	10	6	2	5
1152	8	6	5	2	3	1	10	7	8	7	10	9	2	8	1	9	2	6	10	10
1153	8	1	5	10	6	2	6	2	6	3	6	3	5	4	4	9	3	7	6	4
1154	6	1	7	8	7	1	7	5	2	2	5	6	7	9	9	9	7	3	10	10
1155	2	6	3	9	2	6	2	4	4	6	5	9	3	5	8	10	9	9	3	6
1222	4	9	4	10	4	4	3	4	1	6	4	4	8	6	3	3	4	7	7	9
1223	10	9	5	8	2	10	4	8	8	9	7	6	1	4	1	1	9	4	2	8
1224	9	8	10	6	10	1	1	9	5	10	10	2	4	2	2	3	6	1	6	9
1225	9	6	1	9	8	6	3	6	8	3	6	6	9	6	6	2	4	4	8	3
1226	6	1	1	3	6	9	6	4	2	3	10	8	5	6	7	10	9	6	3	7
1227	6	9	3	4	2	2	10	7	8	10	7	10	10	10	7	8	8	2	3	6
1228	8	2	7	2	9	6	1	1	2	3	1	2	8	4	1	8	10	6	9	8
1229	8	8	1	5	6	1	6	6	10	7	5	3	2	2	9	8	4	6	5	6
1230	3	5	1	2	9	9	7	2	2	7	10	10	6	5	7	5	6	10	3	4
1231	8	10	4	8	1	5	3	1	1	2	4	7	5	3	9	6	8	1	5	9
1232	3	2	10	3	8	3	9	4	1	5	7	2	8	3	3	10	7	2	10	10
1233	6	9	4	6	2	10	9	3	4	8	4	8	7	2	9	6	1	1	5	10
1234	9	4	1	2	6	6	8	10	6	9	1	1	5	7	7	2	5	10	2	9
1235	8	2	3	10	10	6	3	10	3	8	6	9	7	1	1	6	3	9	5	5
1236	3	3	9	9	5	9	10	1	5	7	7	2	3	7	10	4	8	5	4	5
1237	5	8	7	7	3	7	5	6	1	5	4	9	9	10	1	2	10	4	9	7
1303	1	4	4	8	10	5	6	4	8	10	6	3	6	5	8	1	8	2	8	2
1304	3	5	5	3	2	4	5	10	1	4	8	10	10	10	10	2	7	4	4	3
1305	5	2	8	10	1	2	9	3	1	2	7	8	2	2	4	1	7	3	10	3
1306	4	9	8	10	5	4	9	10	9	2	8	3	5	8	6	1	8	7	4	8
1307	4	2	2	7	9	2	5	10	6	9	1	6	10	2	7	8	3	6	6	4
1308	9	10	4	2	4	8	6	3	5	5	8	4	10	1	8	8	1	1	7	3
1309	2	8	6	10	2	10	9	1	9	7	3	6	5	6	7	7	2	1	5	3
1310	2	7	6	4	2	8	6	1	10	3	4	4	2	6	2	1	1	9	6	2
1311	6	3	8	1	10	6	9	7	10	3	7	4	8	10	7	1	8	3	7	4
1312	10	4	8	8	9	6	3	5	3	6	5	5	8	5	10	10	7	9	4	7
1313	4	7	3	1	6	6	4	5	10	8	5	9	4	6	2	10	6	5	9	2
1314	4	5	7	6	7	10	10	6	2	8	3	9	7	4	1	9	2	6	5	2
1315	3	5	1	9	2	5	9	8	1	2	5	10	8	4	9	9	2	2	3	7
1316	5	5	9	6	7	7	6	10	5	1	10	1	1	4	4	5	9	1	2	8
1317	2	6	10	8	1	7	6	10	4	10	10	8	1	9	5	3	3	6	10	9
1384	7	8	1	7	8	5	6	9	6	3	2	10	2	7	9	2	8	5	3	1
1385	5	7	6	10	9	1	2	2	1	3	1	5	9	3	5	7	10	1	5	8
1386	7	1	6	2	2	7	2	4	7	10	6	1	10	3	5	2	3	4	8	4
1387	1	9	4	4	8	5	6	7	3	6	5	10	9	4	4	3	2	3	8	6
1388	7	1	4	10	9	3	10	1	7	8	2	1	8	1	9	1	5	7	3	1
1389	5	9	7	7	8	1	1	6	5	7	9	3	3	1	6	6	6	7	3	1
1390	8	5	2	9	6	1	9	8	9	8	10	9	10	8	3	7	8	3	3	1
1391	5	9	4	7	8	8	2	3	3	8	8	6	10	7	2	3	9	3	6	10
1392	5	10	5	9	6	4	4	9	7	1	3	6	1	4	6	9	7	1	5	2
1393	6	1	1	7	8	5	9	1	10	6	10	2	8	1	4	4	10	6	7	1
1394	1	5	7	3	6	9	4	10	4	9	6	9	9	4	8	5	3	6	10	7
1395	8	9	5	10	4	7	4	3	10	5	4	10	6	3	8	9	8	8	6	5
1396	5	9	7	10	3	1	4	8	5	4	3	9	5	7	8	1	1	8	8	5
1397	9	8	5	7	5	6	8	4	8	4	5	6	10	1	10	2	3	5	1	3
1398	1	3	7	3	8	7	6	1	5	10	4	2	2	10	2	4	2	6	10	7
1466	3	2	6	2	8	10	2	9	2	4	7	7	6	6	4	4	9	2	9	2
1467	2	5	2	8	5	6	8	10	2	7	2	7	4	7	9	9	9	10	1	2
1468	8	8	6	7	9	4	9	3	1	5	4	6	8	1	7	5	10	9	5	3
1469	5	1	8	7	5	7	1	9	9	7	7	6	9	5	5	4	3	4	2	6
1470	4	6	2	7	1	4	5	4	5	5	2	1	10	7	5	4	3	8	6	5
1471	4	7	2	8	1	5	2	6	9	7	10	8	2	2	3	6	5	2	3	8
1472	9	1	4	6	5	9	9	2	3	4	9	3	1	10	7	3	4	10	7	6
1473	4	5	6	3	2	1	2	7	5	4	2	8	5	1	6	1	10	4	6	10
1474	2	7	3	4	6	6	6	7	6	7	5	7	7	8	2	4	3	2	9	8
1475	4	5	1	9	3	6	3	4	6	4	10	3	4	6	2	9	7	9	7	8
1476	5	7	1	10	2	3	2	1	10	9	5	8	9	10	2	1	1	2	2	4
1477	1	5	8	2	5	5	2	8	6	4	9	1	9	9	6	9	9	5	4	9
1478	4	3	10	5	7	1	1	3	6	9	3	10	7	3	7	2	1	1	1	9
1479	3	9	2	5	10	10	3	7	4	10	3	9	1	6	1	1	7	2	3	1
1480	7	3	1	2	5	9	9	8	9	1	9	6	8	8	6	1	8	9	8	5
1541	2	1	4	10	1	10	1	6	4	3	10	5	10	2	10	9	2	2	5	1
1547	5	8	8	4	2	3	5	8	2	5	1	8	7	10	4	8	5	9	9	1
1548	8	4	4	6	10	1	6	1	1	6	8	5	7	9	8	2	6	7	9	3
1549	7	1	6	6	1	9	9	9	6	5	8	4	1	9	8	3	4	5	6	2
1550	6	8	7	1	3	10	1	6	2	5	2	1	2	7	7	10	5	6	4	3
1551	6	1	8	9	8	9	8	8	5	5	8	4	5	3	10	10	5	2	5	4
1552	7	4	5	7	5	10	7	2	4	4	8	8	1	1	1	8	4	2	8	1
1553	3	2	8	1	1	4	9	2	6	9	8	2	2	7	1	7	9	6	4	8
1554	10	4	9	9	2	4	1	10	2	8	1	7	6	3	10	1	5	3	8	6
1555	2	6	2	4	10	1	2	10	10	9	1	10	10	10	8	1	2	3	5	3
1556	9	2	10	10	3	4	3	4	7	4	8	9	4	3	8	1	7	1	3	8
1557	10	3	2	8	6	1	1	5	7	9	1	7	4	2	8	3	9	7	7	7
1558	3	4	10	1	5	5	1	3	7	6	7	5	8	10	6	7	5	7	8	5
1559	2	6	6	4	4	2	1	5	4	6	10	3	1	7	2	8	5	10	9	10
1560	10	6	1	4	4	6	3	9	9	1	4	6	4	8	7	6	3	9	6	4
1623	4	4	1	8	10	6	2	10	2	4	10	2	8	9	7	9	7	7	8	7
1624	6	5	1	4	9	4	7	1	7	7	8	3	4	1	6	1	4	10	10	10
1628	6	1	10	8	7	4	1	3	3	1	6	2	7	1	2	2	8	2	8	5
1629	6	8	1	7	1	3	9	9	2	9	9	2	9	5	5	9	9	1	5	4
1630	4	7	6	1	5	3	7	10	8	8	9	5	3	8	1	9	7	6	1	2
1631	9	2	4	3	9	4	7	6	7	5	6	3	5	8	2	9	7	9	9	3
1632	2	6	4	4	2	3	7	8	9	10	10	4	8	9	6	6	4	8	7	1
1633	3	5	10	2	10	3	4	6	5	10	1	3	6	9	5	2	10	9	2	8
1634	7	1	2	10	4	7	10	6	10	1	6	9	6	2	7	3	3	10	10	8
1635	4	5	7	9	1	9	4	7	5	8	2	8	1	10	3	8	3	8	1	10
1636	9	3	10	3	1	2	5	8	9	8	9	6	2	4	3	10	6	9	6	3
1637	8	1	8	8	10	7	5	8	9	6	5	10	9	2	6	10	6	10	10	2
1638	10	6	6	1	4	2	4	10	6	6	6	3	6	5	7	4	5	2	9	5
1639	1	9	7	5	10	6	5	8	7	6	9	2	1	4	1	10	3	8	8	10
1640	3	9	6	8	6	5	8	7	4	6	1	6	5	5	1	6	6	3	7	4
1641	3	5	8	3	6	2	7	5	8	6	9	10	1	10	8	10	2	10	8	4
1642	7	7	2	3	7	8	5	10	5	1	5	2	8	6	6	5	5	10	8	2
1709	3	3	1	2	3	7	5	3	4	2	8	4	6	8	8	3	6	3	5	3
1710	5	1	8	8	8	3	9	3	6	8	4	8	7	2	2	3	10	9	8	7
1711	1	8	7	10	5	5	1	9	8	7	9	6	6	8	7	2	6	8	10	1
1712	4	9	3	1	8	2	6	4	9	4	6	9	3	3	6	8	8	10	7	3
1713	10	4	7	10	10	10	1	5	7	6	2	5	3	6	6	4	6	10	8	10
1714	5	1	1	1	2	9	5	1	10	6	10	7	1	7	2	6	1	5	2	8
1715	4	7	8	8	6	7	8	1	4	6	3	4	9	6	3	9	9	7	4	10
1716	2	5	1	1	2	5	3	6	9	8	4	8	10	8	3	8	2	6	7	2
1717	4	1	6	4	4	1	10	8	10	6	2	6	8	9	4	1	4	5	1	10
1718	9	9	1	7	4	3	5	9	7	7	1	2	5	7	4	7	2	7	3	9
1719	1	6	10	1	4	8	1	7	2	10	8	2	5	10	8	5	5	7	7	3
1720	2	4	4	3	1	3	8	2	2	6	5	3	7	1	4	4	6	7	10	7
1721	9	4	6	9	6	7	2	8	4	10	10	3	8	9	2	1	8	6	3	9
1722	2	4	8	7	7	10	9	3	5	8	10	7	9	8	4	1	6	1	8	3
1723	10	5	4	7	10	6	2	2	3	4	7	2	3	6	10	1	10	7	6	1
1786	9	8	1	3	7	10	4	4	7	6	7	9	9	2	6	9	6	9	7	7
1787	10	3	10	5	9	10	8	3	8	5	5	1	2	10	1	6	7	7	10	5
1790	10	2	8	3	9	4	10	6	2	6	7	8	10	6	7	8	6	7	8	8
1791	1	2	7	1	4	2	8	2	2	10	1	2	5	3	5	2	1	6	9	9
1792	2	6	1	7	3	1	10	4	2	5	1	10	9	2	7	10	7	5	9	7
1793	2	2	9	8	4	3	1	8	6	2	10	8	3	7	1	2	5	3	4	1
1794	5	3	7	9	5	5	6	4	10	8	5	10	6	4	6	4	8	2	8	1
1795	10	5	10	8	3	6	10	3	10	10	1	5	3	7	3	3	4	4	5	8
1796	4	8	10	9	6	6	7	2	4	9	4	8	10	10	1	10	8	10	3	9
1797	9	10	2	9	5	8	2	9	3	1	2	5	1	9	2	4	5	2	4	5
1798	5	2	6	5	7	4	7	8	9	3	6	1	10	1	7	6	2	1	7	3
1799	4	3	5	10	9	8	4	8	8	7	10	6	1	8	8	1	2	2	6	5
1800	3	1	2	2	7	4	1	6	8	6	6	6	5	5	5	2	2	2	9	3
1801	10	1	7	3	4	8	7	7	1	5	7	10	5	4	1	1	9	4	7	6
1802	1	3	9	3	1	5	10	9	8	2	8	9	1	4	7	5	4	1	7	10
1803	2	8	7	5	9	9	5	4	10	8	2	4	2	1	9	1	5	5	4	6
1804	9	5	2	8	5	10	7	6	3	2	3	1	2	9	4	9	9	10	10	4
1868	2	10	6	3	8	7	1	5	7	6	7	4	1	3	6	9	4	7	3	9
1869	3	4	10	4	1	7	2	9	10	9	1	10	8	9	9	7	4	1	8	2
1872	4	7	6	5	10	7	10	2	6	7	1	3	1	2	1	4	10	3	1	10
1873	1	6	4	1	4	5	5	8	1	6	2	8	2	2	4	9	9	3	1	4
1874	8	7	4	5	6	4	8	2	9	5	9	1	6	10	9	2	3	10	3	5
1875	1	7	7	8	4	6	6	3	10	7	1	7	7	6	10	3	9	5	5	10
1876	7	10	10	6	6	6	6	7	10	9	2	5	7	8	2	3	5	7	9	4
1877	6	4	10	7	1	1	3	4	9	8	10	5	5	7	9	1	7	4	10	10
1878	6	7	2	9	4	4	1	9	1	9	7	2	10	2	5	4	2	6	4	9
1879	8	7	5	4	7	3	9	9	6	4	8	3	1	5	7	2	7	8	3	5
1880	7	6	4	3	6	3	9	10	2	10	9	3	10	6	8	1	8	1	8	7
1881	4	7	3	3	6	1	9	6	6	8	10	2	3	4	3	4	2	7	4	7
1882	8	2	1	2	4	7	9	2	9	8	8	7	2	10	5	10	10	8	3	8
1883	8	10	6	2	1	5	8	6	1	4	5	9	10	1	6	4	9	4	5	5
1884	9	10	10	5	8	6	10	2	4	2	2	1	5	3	3	5	8	1	6	1
1885	7	7	3	6	9	10	8	4	9	9	5	5	1	5	2	5	3	9	6	5
1950	3	7	2	10	10	2	8	6	1	8	5	4	10	8	4	7	10	9	10	8
1953	8	8	2	6	6	6	1	6	4	6	5	10	8	5	8	1	4	4	6	9
1954	1	7	3	6	3	9	7	5	10	9	1	4	7	7	5	8	7	1	3	4
1955	2	1	7	4	3	9	3	5	2	3	10	1	2	3	8	1	2	6	3	9
1956	7	1	7	7	6	9	8	10	4	3	10	10	9	6	9	3	6	8	4	6
1957	7	4	4	1	3	5	2	4	8	4	10	2	3	9	5	1	7	1	8	1
1958	9	1	2	9	9	9	1	6	4	10	5	6	3	1	9	4	3	5	6	4
1959	9	4	5	1	3	9	1	5	6	9	6	1	5	9	3	5	4	5	4	8
1960	5	7	6	8	3	2	8	7	10	8	8	10	5	7	6	7	7	9	8	7
1961	3	6	8	2	6	6	2	1	4	9	1	1	7	10	10	6	4	2	6	3
1962	8	3	9	7	9	7	2	4	4	5	7	2	10	1	3	2	3	7	3	8
1963	7	2	2	10	8	1	8	9	10	4	3	7	3	8	7	3	1	3	9	10
1964	3	2	4	7	4	7	2	7	4	6	1	2	7	4	6	6	2	3	4	4
1965	4	9	9	9	9	7	2	10	8	5	7	1	2	3	10	1	5	8	5	3
1966	6	7	6	6	1	1	9	2	10	5	7	7	7	10	10	2	7	9	4	4
1967	10	3	8	8	6	7	7	6	7	4	9	9	1	8	4	6	10	10	10	2
2031	2	10	6	7	1	9	6	1	7	1	10	9	8	4	4	4	10	8	5	6
